# Data source: SEC EDGAR (data.sec.gov)
# Screener Parameters:
# Revenue >= 0.0
# NetIncome >= 0.0
# EPS >= 0.0
# Debt/Assets <= 0.8

Ticker,Company,CIK,ReportDate,Revenue,NetIncome,NetMargin%,RevenueYoY%,Assets,Liabilities,Equity,Debt/Assets%,EPS,SharesOut
WY,WEYERHAEUSER COMPANY,0000106535,2024-12-31,7124000000,396000000,5.56,-7.17,16536000000,6815000000,9721000000.0,41.21,0.54,720861000.0
RL,RALPH LAUREN     CORPORATION,0001037038,2025-03-29,7079000000,742900000,10.49,6.75,7047300000,4458800000,2588500000.0,63.27,11.86,
BLDR,"BUILDERS FIRSTSOURCE, INC.",0001316835,2024-12-31,7034209000,1077898000,15.32,10.47,10583086000,6286616000,4296470000.0,59.4,9.13,110580581.0
FIX,"COMFORT SYSTEMS USA, INC.",0001035983,2024-12-31,7027476000,522433000,7.43,34.97,4711088000,3006412000,1704676000.0,63.82,14.64,35271950.0
OLN,Olin Corporation,0000074303,2024-12-31,6946100000,105000000,1.51,10.81,7579100000,5523700000,2023100000.0,72.88,0.92,114121529.0
AVTR,"Avantor, Inc.",0001722482,2024-12-31,6783600000,711500000,10.49,-2.64,12114500000,6157800000,5956700000.0,50.83,1.05,681814859.0
REZI,"Resideo Technologies, Inc.",0001740332,2024-12-31,6761000000,116000000,1.72,8.31,8199000000,4890000000,3309000000.0,59.64,0.62,149714944.0
PSN,Parsons Corporation,0000275880,2024-12-31,6750576000,235053000,3.48,24.03,5487962000,2953473000,2416389000.0,53.82,2.21,106488582.0
MKC,"McCORMICK & COMPANY, INCORPORATED",0000063754,2024-11-30,6723700000,788500000,11.73,0.92,13070300000,7753500000,5291000000.0,59.32,2.94,
MKC.V,"McCORMICK & COMPANY, INCORPORATED",0000063754,2024-11-30,6723700000,788500000,11.73,0.92,13070300000,7753500000,5291000000.0,59.32,2.94,
NEM,NEWMONT CORPORATION,0001164727,2024-12-31,6711000000,3348000000,49.89,-13.17,56349000000,26240000000,29928000000.0,46.57,2.92,1091262981.0
NSIT,"INSIGHT ENTERPRISES, INC.",0000932696,2024-12-31,6703623000,249691000,3.72,22.21,7448578000,5677967000,1770611000.0,76.23,7.73,30979597.0
KDP,Keurig Dr Pepper Inc.,0001418135,2024-12-31,6690000000,1441000000,21.54,3.88,53430000000,29187000000,24243000000.0,54.63,1.06,1358583125.0
COIN,"Coinbase Global, Inc.",0001679788,2024-12-31,6564028000,2579066000,39.29,111.17,22541951000,12265109000,10276842000.0,54.41,10.42,268736000.0
INGR,INGREDION INCORPORATED,0001046257,2024-12-31,6532000000,647000000,9.91,5.03,7444000000,3554000000,3804000000.0,47.74,9.88,63530137.0
LHX,"L3HARRIS TECHNOLOGIES, INC.",0000202058,2025-01-03,6182000000,1502000000,24.3,4.78,42001000000,22422000000,19514000000.0,53.38,7.91,187052847.0
FAF,FIRST AMERICAN FINANCIAL CORPORATION,0001472787,2024-12-31,6128100000,131100000,2.14,2.08,14908600000,9981600000,4908500000.0,66.95,1.26,101900000.0
CHD,"CHURCH & DWIGHT CO., INC.",0000313927,2024-12-31,6107100000,585300000,9.58,4.08,8883100000,4522300000,4360800000.0,50.91,2.39,240130071.0
SPGI,S&P Global Inc.,0000064040,2023-12-31,6063000000,2626000000,43.31,7.1,60589000000,22489000000,34200000000.0,37.12,8.25,302800000.0
EQIX,"EQUINIX, INC.",0001101239,2024-12-31,5998545000,815000000,13.59,7.85,35085000000,21533000000,13528000000.0,61.37,8.54,98186078.0
ARDT,"Ardent Health, Inc.",0001756655,2024-12-31,5966072000,210343000,3.53,10.29,4956100000,3433743000,1131376000.0,69.28,1.59,143187681.0
ASO,"Academy Sports and Outdoors, Inc.",0001817358,2025-02-01,5933450000,418447000,7.05,341.7,4900963000,2896928000,2004035000.0,59.11,5.87,66681300.0
PAG,"Penske Automotive Group, Inc.",0001019849,2024-12-31,5881400000,918900000,15.62,8.13,16720900000,11493600000,5209800000.0,68.74,13.74,65858552.0
REGN,"REGENERON PHARMACEUTICALS, INC.",0000872589,2024-12-31,5872227000,4412600000,75.14,20.82,37759400000,8405800000,29353600000.0,22.26,40.9,93955110.0
THS,"TreeHouse Foods, Inc.",0001320695,2024-12-31,5812100000,26900000,0.46,-7.85,3980000000,2431100000,1548900000.0,61.08,0.52,50500000.0
SEB,Seaboard Corporation,0000088121,2024-12-31,5809000000,230350000,3.97,7.99,7665000000,2916000000,4729000000.0,38.04,90.62,957951.0
RHI,ROBERT HALF INC.,0000315213,2024-12-31,5795837000,251598000,4.34,-9.33,2854405000,1476402000,1378003000.0,51.72,2.45,101186391.0
BEN,"FRANKLIN RESOURCES, INC.",0000038777,2025-09-30,5774500000,524900000,9.09,-8.62,32368300000,18179500000,12077800000.0,56.16,0.91,520970580.0
KBR,"KBR, Inc.",0001357615,2025-01-03,5767000000,375000000,6.5,2.27,6663000000,5196000000,1453000000.0,77.98,2.79,126989628.0
EFX,EQUIFAX INC,0000033185,2024-12-31,5681100000,604100000,10.63,7.9,11759400000,6839800000,4796900000.0,58.16,4.88,122394037.0
LEVI,LEVI STRAUSS & CO,0000094845,2024-12-01,5575440000,210600000,3.78,13.69,6375500000,4405000000,1970500000.0,69.09,0.53,37602843.0
PAYX,"Paychex, Inc.",0000723531,2025-05-31,5571700000,674900000,12.11,5.56,16564100000,12436100000,4128000000.0,75.08,4.6,358967450.0
